G_proxy,T_proxy,n,pearson_r,pearson_p,spearman_r,spearman_p,score_mean_r,abs_pearson,abs_spearman
G_minus_kappa_plus_halfR,T_lap_only,492,0.012179935074705427,0.7875550758133363,0.012791955754273823,0.7771544850215639,0.012485945414489625,0.012179935074705427,0.012791955754273823
G_kappa_minus_halfR,T_minus_lap_only,492,0.012179935074705427,0.7875550758133363,0.012791955754273823,0.7771544850215639,0.012485945414489625,0.012179935074705427,0.012791955754273823
G_kappa_plus_halfR,T_grad2_plus_abslap,492,-0.05167148107206149,0.2526328084149059,0.07081236797045574,0.11672514514682569,0.009570443449197129,0.05167148107206149,0.07081236797045574
minus_R_edge,T_minus_lap_only,492,0.028383187797605805,0.5299418905588432,-0.018261717259432514,0.6861628269647354,0.0050607352690866456,0.028383187797605805,0.018261717259432514
R_edge,T_lap_only,492,0.028383187797605805,0.5299418905588432,-0.018261717259432514,0.6861628269647354,0.0050607352690866456,0.028383187797605805,0.018261717259432514
minus_R_edge,T_lap_only,492,-0.028383187797605805,0.5299418905588432,0.018261717259432514,0.6861628269647354,-0.0050607352690866456,0.028383187797605805,0.018261717259432514
R_edge,T_minus_lap_only,492,-0.028383187797605805,0.5299418905588432,0.018261717259432514,0.6861628269647354,-0.0050607352690866456,0.028383187797605805,0.018261717259432514
G_minus_kappa_minus_halfR,T_grad2_plus_abslap,492,0.05167148107206149,0.2526328084149059,-0.07081236797045574,0.11672514514682569,-0.009570443449197129,0.05167148107206149,0.07081236797045574
G_minus_kappa_plus_halfR,T_minus_lap_only,492,-0.012179935074705427,0.7875550758133363,-0.012791955754273823,0.7771544850215639,-0.012485945414489625,0.012179935074705427,0.012791955754273823
G_kappa_minus_halfR,T_lap_only,492,-0.012179935074705427,0.7875550758133363,-0.012791955754273823,0.7771544850215639,-0.012485945414489625,0.012179935074705427,0.012791955754273823
minus_R_edge,T_grad2_only,492,-0.02078803610451308,0.6455321646277138,-0.011342415376531356,0.8018488439072082,-0.01606522574052222,0.02078803610451308,0.011342415376531356
G_minus_kappa_minus_halfR,T_minus_lap_only,492,-0.001688649070914731,0.9701973272662114,-0.03556748836865092,0.43118387161620747,-0.018628068719782825,0.001688649070914731,0.03556748836865092
G_kappa_plus_halfR,T_lap_only,492,-0.001688649070914731,0.9701973272662114,-0.03556748836865092,0.43118387161620747,-0.018628068719782825,0.001688649070914731,0.03556748836865092
G_kappa_plus_halfR,T_grad2_plus_lap,492,-0.051671481072061494,0.2526328084149059,-0.002139463001252142,0.962246289191359,-0.026905472036656816,0.051671481072061494,0.002139463001252142
G_kappa_plus_halfR,T_abs_grad_plus_abslap,492,-0.05170857831696806,0.25229189186559897,-0.0026919391482531055,0.952507410006171,-0.027200258732610585,0.05170857831696806,0.0026919391482531055
G_kappa_plus_halfR,T_grad2_minus_lap,492,-0.051671481072061494,0.2526328084149059,-0.02915724780372455,0.5187773879346123,-0.04041436443789302,0.051671481072061494,0.02915724780372455
minus_R_edge,T_grad2_minus_lap,492,-0.02078803610451309,0.6455321646277138,-0.06623302466205999,0.14237772562550513,-0.04351053038328654,0.02078803610451309,0.06623302466205999
minus_R_edge,T_abs_grad_plus_abslap,492,-0.020819053665070877,0.6450394985415436,-0.08378674735249592,0.06330843569093098,-0.0523029005087834,0.020819053665070877,0.08378674735249592
G_minus_kappa_plus_halfR,T_abs_lap_only,492,-0.11271359106819186,0.012358961860578466,0.0003364666777137163,0.9940604357590763,-0.05618856219523907,0.11271359106819186,0.0003364666777137163
G_kappa_plus_halfR,T_grad2_only,492,-0.051671481072061494,0.2526328084149059,-0.06372204467595577,0.15816718098745175,-0.05769676287400863,0.051671481072061494,0.06372204467595577
minus_kappa,T_minus_lap_only,492,-0.006507619381947895,0.8855159918144955,-0.11612279496504635,0.009940193929565059,-0.06131520717349712,0.006507619381947895,0.11612279496504635
kappa,T_lap_only,492,-0.006507619381947895,0.8855159918144955,-0.11612279496504635,0.009940193929565059,-0.06131520717349712,0.006507619381947895,0.11612279496504635
minus_R_edge,T_grad2_plus_lap,492,-0.020788036104513085,0.6455321646277138,-0.12119491156382155,0.007116938895396567,-0.07099147383416732,0.020788036104513085,0.12119491156382155
minus_kappa,T_abs_lap_only,492,-0.13116208752368488,0.003562402965883284,-0.050500283926799464,0.26356071267942616,-0.09083118572524218,0.13116208752368488,0.050500283926799464
G_minus_kappa_minus_halfR,T_abs_lap_only,492,-0.14434481652026698,0.0013254709894942945,-0.07171888779120829,0.11210511440891552,-0.10803185215573763,0.14434481652026698,0.07171888779120829
minus_R_edge,T_grad2_plus_abslap,492,-0.020788036104513085,0.6455321646277138,-0.20990436066179693,2.646799049729555e-06,-0.115346198383155,0.020788036104513085,0.20990436066179693
minus_R_edge,T_abs_lap_only,492,-0.17070013007404533,0.00014201026113612716,-0.15258169007529238,0.0006844827352416766,-0.16164091007466885,0.17070013007404533,0.15258169007529238
G_kappa_minus_halfR,T_grad2_only,492,-0.06962661585940454,0.12299174139645803,-0.31876256414963927,4.4118787954177934e-13,-0.1941945900045219,0.06962661585940454,0.31876256414963927
kappa,T_grad2_minus_lap,492,-0.06035836288757221,0.18134452097827405,-0.33686814423026806,1.6076523812736163e-14,-0.19861325355892012,0.06035836288757221,0.33686814423026806
kappa,T_abs_grad_plus_abslap,492,-0.060404331217178836,0.18101169263700986,-0.35413327677952955,5.540635060347872e-16,-0.20726880399835418,0.060404331217178836,0.35413327677952955
G_kappa_minus_halfR,T_abs_grad_plus_abslap,492,-0.0696823573300216,0.12269140051398691,-0.35591337342768337,3.8686974457690294e-16,-0.21279786537885248,0.0696823573300216,0.35591337342768337
kappa,T_grad2_only,492,-0.06035836288757221,0.18134452097827405,-0.36933627649928474,2.394583209004143e-17,-0.21484731969342846,0.06035836288757221,0.36933627649928474
kappa,T_grad2_plus_abslap,492,-0.06035836288757221,0.18134452097827405,-0.3908899677638066,2.0748700291009668e-19,-0.2256241653256894,0.06035836288757221,0.3908899677638066
G_kappa_minus_halfR,T_grad2_minus_lap,492,-0.06962661585940454,0.12299174139645803,-0.3955557415366077,7.081430731212414e-20,-0.23259117869800613,0.06962661585940454,0.3955557415366077
G_kappa_minus_halfR,T_grad2_plus_lap,492,-0.06962661585940454,0.12299174139645803,-0.45037886713704645,5.99980177896715e-26,-0.2600027414982255,0.06962661585940454,0.45037886713704645
kappa,T_grad2_plus_lap,492,-0.06035836288757221,0.18134452097827405,-0.4601705194936515,3.734376733999056e-27,-0.2602644411906119,0.06035836288757221,0.4601705194936515
G_kappa_minus_halfR,T_grad2_plus_abslap,492,-0.06962661585940454,0.12299174139645803,-0.49403819955090694,1.2235682204818495e-31,-0.2818324077051557,0.06962661585940454,0.49403819955090694
