mode,omega2,omega,k2_line,k_line
1,4.137404481369582,2.0340610810321262,4.135301211422895,2.0335440028243537
2,4.137404481369636,2.0340610810321396,4.135301211422897,2.033544002824354
3,7.74997761330645,2.7838781606432508,7.747950040644014,2.7835139734953755
4,14.741448879859087,3.839459451519066,14.739436804787204,3.8391974167509546
5,14.832517330067725,3.8513007322290123,14.830454409020243,3.8510329015759193
6,17.51781625592605,4.185429040842295,17.515859162131665,4.185195235844042
7,17.517816255926597,4.18542904084236,17.515859162131665,4.185195235844042
8,26.407891711793695,5.13886093524564,26.405984142100245,5.138675329508593
9,27.81776456359622,5.274254882312403,27.815835599413045,5.274072013104584
10,27.817764563596448,5.274254882312425,27.815835599413035,5.2740720131045835
11,28.99808836306347,5.384987313175721,28.996321207673525,5.384823229008871
12,29.66226716217896,5.446307663195219,29.66033821065094,5.4461305723101185
13,36.583554102913254,6.048434020712572,36.581777719068036,6.04828717233797
14,36.5835541029139,6.048434020712626,36.58177771906804,6.048287172337971
15,38.137684779527284,6.175571615609949,38.13604135109795,6.17543855536576
16,39.44037420809486,6.2801571802061495,39.438604213908114,6.28001625904807
17,39.440374208095854,6.280157180206229,39.43860421390811,6.280016259048069
18,39.5741498295064,6.29079882284487,39.57228726466893,6.29065078228548
19,41.219485629419424,6.42024030932016,41.2177585665128,6.420105806488924
20,42.417004418469276,6.512833823956303,42.41515572365186,6.5126918953418835
21,42.440040589770284,6.514602105253266,42.438228317246235,6.514463010659147
22,42.440040589770604,6.5146021052532905,42.438228317246235,6.514463010659147
23,43.491968097863406,6.594844054097368,43.49029226355745,6.594716996472059
24,43.55279248750594,6.599453953737835,43.55112132705619,6.599327338983587
25,43.55654482970055,6.599738239483483,43.55486182962054,6.599610733188779
26,43.55654482970082,6.599738239483504,43.554861829620535,6.599610733188779
27,43.60393929230288,6.60332789525879,43.602244522110276,6.603199567036444
28,44.200555014342555,6.648349796328602,44.198843244042884,6.648221058602285
29,44.4717965633698,6.668717760062259,44.47014382214672,6.668593841444141
30,44.47179656336988,6.668717760062266,44.47014382214671,6.66859384144414
31,45.24241071249866,6.726247892584592,45.24065098675882,6.726117080958287
32,45.33686107784317,6.7332652612119155,45.33505282972318,6.733130982664988
33,45.3368610778432,6.733265261211918,45.33505282972317,6.733130982664987
34,45.35169886847674,6.734366998350827,45.34987636097108,6.734231683048266
35,45.512748941052514,6.746313729812194,45.510994270877546,6.746183681969944
36,45.78395367288956,6.766384091439797,45.78220640020739,6.766254975997239
37,45.878911288061474,6.7733973224713075,45.87720490731867,6.773271359344661
38,45.878911288061495,6.773397322471308,45.87720490731867,6.773271359344661
39,46.00500621963854,6.782699036492666,46.00333946769337,6.782576167481894
40,46.18004461091305,6.795590085556445,46.17828254051158,6.795460436240622
41,46.288539189764045,6.803568121931612,46.28663873504839,6.803428454466792
42,46.28853918976437,6.803568121931637,46.28663873504838,6.80342845446679
43,46.438183787108244,6.814556756466868,46.436155143762875,6.814407908524619
44,46.7380918919562,6.836526303025258,46.73622073202692,6.836389451459515
45,46.79189619474135,6.84046023267012,46.789978173723725,6.840320034451877
46,46.89055293219789,6.8476677001879915,46.88859851049189,6.847524991593086
47,46.89055293219849,6.847667700188035,46.88859851049189,6.847524991593086
48,46.906019375639644,6.848796929070072,46.90408162796591,6.848655461327128
49,47.01583361785775,6.856809288426925,47.01377265070447,6.856659000614255
50,47.128270816170016,6.865003336938011,47.12617364014834,6.864850591247295
51,47.268541331807306,6.875212093587172,47.26666751973456,6.875075819198982
52,47.26854133180788,6.875212093587214,47.26666751973456,6.875075819198982
53,47.51369293930309,6.893017694689539,47.511980298619505,6.892893463460719
54,48.0554619795955,6.932204698333388,48.05357724099556,6.932068756222456
55,48.05546197959564,6.932204698333399,48.053577240995565,6.932068756222457
56,48.147372357732834,6.9388307630128025,48.14532094533552,6.938682940251379
57,48.19523405673131,6.942278736605965,48.19315420251799,6.942128938770727
58,48.19523405673135,6.942278736605967,48.19315420251798,6.942128938770727
59,48.19877950421302,6.942534083763149,48.19665993816431,6.942381431336391
60,48.21745869147087,6.943879225006068,48.215460309748785,6.943735328319246
61,48.22955117695866,6.944749900245412,48.22752600858021,6.944604093004886
62,48.28499195184833,6.9487403140316255,48.28291043144277,6.9485905356009265
63,48.28499195184876,6.948740314031657,48.28291043144279,6.948590535600927
64,48.3612604198466,6.954226083457929,48.359246998820176,6.954081319543235
65,48.45659568097097,6.961077192573788,48.45464094213959,6.960936786247925
66,48.51828649850897,6.965506908941299,48.51620704581205,6.965357639476386
67,48.55341940569721,6.968028372911323,48.55140259637814,6.967883652614913
68,48.553419405698094,6.968028372911386,48.55140259637814,6.967883652614913
69,48.86551608533954,6.990387405955377,48.8633268108268,6.990230812414337
70,48.86551608533958,6.99038740595538,48.8633268108268,6.990230812414337
71,48.86580242153168,6.9904078866352055,48.86377335992677,6.990262753282367
72,49.240188111422924,7.01713532087154,49.23824525026074,7.016996882588786
73,49.467673852699704,7.033325945290727,49.46556491019217,7.033176018712469
74,49.55308883678142,7.039395488021782,49.550956314453096,7.03924401583388
75,49.557530627465816,7.039710976131464,49.55559982479269,7.039573838293955
76,49.557530627466875,7.0397109761315395,49.555599824792694,7.039573838293956
77,49.97040382356559,7.068974736379073,49.96852756313141,7.068842024202508
78,50.00303093230019,7.071282127895916,50.00110667272514,7.071146065011325
79,50.17165809737554,7.083195472198656,50.16968851872761,7.083056439047173
80,50.17165809737614,7.083195472198698,50.1696885187276,7.083056439047171
